ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
complaint2capa,Complaint2CAPA,2025-01,Complaint Rate,83.5,82.17,4.11,Green,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-01,CAPA Aging,27.13,28.26,1.41,Amber,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-01,Repeat Defect Rate,88.97,90.66,4.53,Amber,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-01,Cost Of Poor Quality,29.77,29.8,1.49,Amber,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-01,CAPA Effectiveness,27.2,30.83,1.54,Red,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-02,Complaint Rate,79.09,86.55,4.33,Amber,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-02,CAPA Aging,18.48,22.7,1.14,Red,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-02,Repeat Defect Rate,74.18,86.26,4.31,Red,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-02,Cost Of Poor Quality,8.3,10.92,0.55,Red,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-02,CAPA Effectiveness,46.82,48.83,2.44,Amber,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-03,Complaint Rate,76.39,85.22,4.26,Red,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-03,CAPA Aging,34.15,36.59,1.83,Amber,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-03,Repeat Defect Rate,84.38,90.13,4.51,Amber,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
complaint2capa,Complaint2CAPA,2025-03,Cost Of Poor Quality,12.53,16.92,0.85,Red,Complaint-to-CAPA Process Owner,QMS; CRM Service; Warranty; ERP QM
