ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
data2insight2action,Data2Insight2Action,2025-01,Insight Adoption,12.29,19.07,0.95,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-01,Action Conversion,34.68,34.64,1.73,Green,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-01,Decision Latency,24.04,33.28,1.66,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-01,Realized Value,13.77,17.77,0.89,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-01,Action Overdue Count,28.86,29.25,1.46,Amber,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-02,Insight Adoption,13.85,18.7,0.94,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-02,Action Conversion,38.51,48.12,2.41,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-02,Decision Latency,14.4,21.85,1.09,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-02,Realized Value,30.94,29.98,1.5,Green,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-02,Action Overdue Count,7.42,13.07,0.65,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-03,Insight Adoption,30.33,37.44,1.87,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-03,Action Conversion,19.08,21.4,1.07,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-03,Decision Latency,32.28,35.61,1.78,Amber,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-03,Realized Value,21.43,25.32,1.27,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-03,Action Overdue Count,47.62,50.87,2.54,Amber,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-04,Insight Adoption,43.51,44.04,2.2,Amber,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-04,Action Conversion,53.07,55.95,2.8,Amber,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-04,Decision Latency,34.3,38.59,1.93,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-04,Realized Value,44.31,44.29,2.21,Green,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-04,Action Overdue Count,11.25,13.74,0.69,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-05,Insight Adoption,40.15,48.52,2.43,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-05,Action Conversion,6.62,10.15,0.51,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-05,Decision Latency,54.67,55.03,2.75,Amber,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-05,Realized Value,21.65,23.61,1.18,Amber,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
data2insight2action,Data2Insight2Action,2025-05,Action Overdue Count,23.31,26.84,1.34,Red,Data-to-Action Process Owner,Power BI; Action Tracker; Data Catalog; Business Apps
