ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
dock2stock,Dock2Stock,2025-01,Dock-to-Stock Time,16.36,18.78,0.94,Red,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-01,GR Accuracy,11.89,17.88,0.89,Red,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-01,Inspection Aging,16.25,16.98,0.85,Amber,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-01,Putaway Backlog,38.06,36.64,1.83,Green,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-01,Blocked Stock Value,57.08,57.76,2.89,Amber,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-02,Dock-to-Stock Time,37.17,37.16,1.86,Green,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-02,GR Accuracy,17.17,18.73,0.94,Amber,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-02,Inspection Aging,23.83,27.57,1.38,Red,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-02,Putaway Backlog,42.16,52.34,2.62,Red,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-02,Blocked Stock Value,47.54,51.05,2.55,Amber,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-03,Dock-to-Stock Time,44.01,47.04,2.35,Amber,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-03,GR Accuracy,27.54,28.98,1.45,Amber,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-03,Inspection Aging,27.11,28.84,1.44,Amber,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
dock2stock,Dock2Stock,2025-03,Putaway Backlog,44.17,50.23,2.51,Red,Inbound Warehouse Process Owner,WMS; ERP MM; QMS; Yard Management
