ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
forecast2plan,Forecast2Plan,2025-01,Forecast Accuracy,51.61,57.37,2.87,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-01,Forecast Bias,53.14,52.9,2.65,Green,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-01,S&OP Gap,42.37,47.64,2.38,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-01,Inventory Target Gap,21.87,26.3,1.32,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-01,Demand Volatility,27.71,29.9,1.5,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-02,Forecast Accuracy,9.85,10.7,0.54,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-02,Forecast Bias,46.91,53.88,2.69,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-02,S&OP Gap,25.58,30.16,1.51,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-02,Inventory Target Gap,44.06,43.43,2.17,Green,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-02,Demand Volatility,27.81,30.26,1.51,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-03,Forecast Accuracy,25.24,33.16,1.66,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-03,Forecast Bias,14.13,18.66,0.93,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-03,S&OP Gap,48.33,56.47,2.82,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-03,Inventory Target Gap,19.18,19.1,0.96,Green,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-03,Demand Volatility,18.4,24.01,1.2,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-04,Forecast Accuracy,37.05,41.22,2.06,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-04,Forecast Bias,20.97,23.54,1.18,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-04,S&OP Gap,30.4,33.24,1.66,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-04,Inventory Target Gap,39.8,46.08,2.3,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-04,Demand Volatility,10.34,13.16,0.66,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-05,Forecast Accuracy,37.0,46.57,2.33,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-05,Forecast Bias,46.34,54.97,2.75,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-05,S&OP Gap,11.61,14.73,0.74,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-05,Inventory Target Gap,53.23,54.68,2.73,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-05,Demand Volatility,50.81,49.04,2.45,Green,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-06,Forecast Accuracy,39.03,42.73,2.14,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-06,Forecast Bias,14.94,17.64,0.88,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-06,S&OP Gap,37.85,38.17,1.91,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-06,Inventory Target Gap,36.96,40.09,2.0,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-06,Demand Volatility,12.54,13.07,0.65,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-07,Forecast Accuracy,15.65,17.01,0.85,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-07,Forecast Bias,44.57,48.22,2.41,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-07,S&OP Gap,39.83,42.63,2.13,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-07,Inventory Target Gap,14.05,15.89,0.79,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-07,Demand Volatility,10.96,13.06,0.65,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-08,Forecast Accuracy,24.91,28.6,1.43,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-08,Forecast Bias,39.29,45.42,2.27,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-08,S&OP Gap,23.4,25.63,1.28,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-08,Inventory Target Gap,42.01,48.91,2.45,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-08,Demand Volatility,31.1,31.69,1.58,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-09,Forecast Accuracy,13.33,18.66,0.93,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-09,Forecast Bias,26.41,30.85,1.54,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-09,S&OP Gap,50.19,52.23,2.61,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-09,Inventory Target Gap,41.35,45.41,2.27,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-09,Demand Volatility,17.01,17.61,0.88,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-10,Forecast Accuracy,45.14,48.77,2.44,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-10,Forecast Bias,12.2,17.05,0.85,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-10,S&OP Gap,49.31,58.88,2.94,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-10,Inventory Target Gap,45.58,46.43,2.32,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-10,Demand Volatility,23.0,27.86,1.39,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
