ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
incident2action,Incident2Action,2025-01,Incident Rate,59.43,75.32,3.77,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-01,Severity Score,10.87,14.04,0.7,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-01,Response Time,25.14,25.26,1.26,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-01,Overdue Actions,9.39,12.34,0.62,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-01,Risk Exposure,34.0,38.81,1.94,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-02,Incident Rate,75.07,83.12,4.16,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-02,Severity Score,10.45,11.92,0.6,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-02,Response Time,31.19,35.54,1.78,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-02,Overdue Actions,17.1,18.36,0.92,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-02,Risk Exposure,14.63,17.35,0.87,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-03,Incident Rate,67.71,82.57,4.13,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-03,Severity Score,39.32,39.67,1.98,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-03,Response Time,33.35,40.29,2.01,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-03,Overdue Actions,54.53,53.7,2.69,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-03,Risk Exposure,41.36,43.04,2.15,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-04,Incident Rate,69.68,81.57,4.08,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
