ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-01,Attach Rate,75.9,85.63,4.28,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-01,SLA Adherence,39.87,47.21,2.36,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-01,Service Margin,37.52,37.06,1.85,Green,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-01,Renewal Opportunity,20.89,24.12,1.21,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-01,Coverage Gap,34.41,36.03,1.8,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-02,Attach Rate,82.05,83.07,4.15,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-02,SLA Adherence,46.88,52.75,2.64,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-02,Service Margin,11.16,13.31,0.67,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-02,Renewal Opportunity,31.6,37.87,1.89,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-02,Coverage Gap,23.29,24.87,1.24,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-03,Attach Rate,90.88,90.51,4.53,Green,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-03,SLA Adherence,14.62,18.15,0.91,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-03,Service Margin,36.83,42.02,2.1,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-03,Renewal Opportunity,31.89,31.41,1.57,Green,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-03,Coverage Gap,40.4,51.74,2.59,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
