ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
issue2resolution,Issue2Resolution,2025-01,Issue Aging,26.64,29.17,1.46,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-01,SLA Breach %,89.65,92.76,4.64,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-01,Warranty Cost,36.35,39.74,1.99,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-01,Repeat Issue Rate,83.07,87.37,4.37,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-01,Corrective Action Aging,15.02,19.1,0.96,Red,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-02,Issue Aging,35.26,40.72,2.04,Red,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-02,SLA Breach %,62.41,78.84,3.94,Red,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-02,Warranty Cost,36.8,36.03,1.8,Green,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-02,Repeat Issue Rate,96.56,92.82,4.64,Green,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-02,Corrective Action Aging,20.04,21.0,1.05,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-03,Issue Aging,55.99,56.95,2.85,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-03,SLA Breach %,80.41,85.8,4.29,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-03,Warranty Cost,15.56,16.67,0.83,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
issue2resolution,Issue2Resolution,2025-03,Repeat Issue Rate,73.57,76.52,3.83,Amber,Issue Resolution Process Owner,CRM Service; Warranty; QMS; Field Service
