ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
lead2quote,Lead2Quote / Configure2Quote,2025-01,Quote Cycle Time,10.54,16.65,0.83,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-01,Configuration Error Rate,65.24,81.69,4.08,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-01,Approval Aging,12.36,16.23,0.81,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-01,Discount Leakage,14.13,15.31,0.77,Amber,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-01,Quote Win Rate,87.48,95.59,4.78,Amber,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-02,Quote Cycle Time,16.1,20.26,1.01,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-02,Configuration Error Rate,80.24,77.76,3.89,Green,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-02,Approval Aging,36.89,38.44,1.92,Amber,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-02,Discount Leakage,49.76,52.68,2.63,Amber,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-02,Quote Win Rate,82.09,95.57,4.78,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-03,Quote Cycle Time,13.74,15.59,0.78,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-03,Configuration Error Rate,74.13,84.36,4.22,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-03,Approval Aging,37.16,46.21,2.31,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
lead2quote,Lead2Quote / Configure2Quote,2025-03,Discount Leakage,10.36,11.63,0.58,Red,Quote Process Owner,CRM; CPQ; Pricing; ERP Sales
