ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-01,Lead Time,17.75,17.33,0.87,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-01,WIP Value,59.6,57.57,2.88,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-01,Stock Cover,49.4,51.23,2.56,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-01,Milestone Adherence,14.72,18.57,0.93,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-01,Expedite Count,41.68,50.44,2.52,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-02,Lead Time,10.95,12.92,0.65,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-02,WIP Value,45.74,56.19,2.81,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-02,Stock Cover,10.88,14.3,0.72,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-02,Milestone Adherence,52.73,52.42,2.62,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-02,Expedite Count,42.37,42.58,2.13,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-03,Lead Time,32.06,39.14,1.96,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-03,WIP Value,35.89,45.5,2.27,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-03,Stock Cover,17.13,17.96,0.9,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-03,Milestone Adherence,15.06,16.9,0.84,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-03,Expedite Count,40.5,41.89,2.09,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
