ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
nonconformance2disposition,Nonconformance2Disposition,2025-01,Defect Rate,63.92,77.68,3.88,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-01,Blocked Stock Value,43.84,47.61,2.38,Amber,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-01,Rework Cost,13.56,13.8,0.69,Amber,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-01,Supplier PPM,45.58,49.6,2.48,Amber,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-01,Disposition Aging,50.75,56.58,2.83,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-02,Defect Rate,89.07,96.14,4.81,Amber,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-02,Blocked Stock Value,47.26,52.57,2.63,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-02,Rework Cost,17.36,19.86,0.99,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-02,Supplier PPM,13.86,17.11,0.86,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-02,Disposition Aging,31.9,37.27,1.86,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-03,Defect Rate,82.66,88.28,4.41,Amber,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-03,Blocked Stock Value,32.95,37.55,1.88,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-03,Rework Cost,51.92,58.59,2.93,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-03,Supplier PPM,26.56,27.79,1.39,Amber,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-03,Disposition Aging,38.84,38.39,1.92,Green,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-04,Defect Rate,83.33,96.53,4.83,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-04,Blocked Stock Value,44.64,58.16,2.91,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-04,Rework Cost,52.89,51.74,2.59,Green,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-04,Supplier PPM,53.14,58.94,2.95,Amber,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-04,Disposition Aging,43.37,42.21,2.11,Green,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-05,Defect Rate,76.88,96.25,4.81,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
nonconformance2disposition,Nonconformance2Disposition,2025-05,Blocked Stock Value,19.62,24.25,1.21,Red,Nonconformance Process Owner,QMS; ERP QM; WMS; Supplier Portal
