ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
pick2pack2ship,Pick2Pack2Ship,2025-01,Pick Accuracy,15.12,21.51,1.08,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-01,Lines Per Hour,12.62,15.57,0.78,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-01,Wave Adherence,19.36,20.2,1.01,Amber,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-01,Pack Backlog,46.55,52.33,2.62,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-01,Cut-Off Misses,59.15,59.4,2.97,Amber,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-02,Pick Accuracy,46.43,46.43,2.32,Green,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-02,Lines Per Hour,52.94,52.06,2.6,Green,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-02,Wave Adherence,20.21,22.92,1.15,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-02,Pack Backlog,10.35,14.0,0.7,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-02,Cut-Off Misses,6.69,10.18,0.51,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-03,Pick Accuracy,30.32,32.64,1.63,Amber,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-03,Lines Per Hour,9.72,13.48,0.67,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-03,Wave Adherence,17.03,24.41,1.22,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-03,Pack Backlog,24.57,28.83,1.44,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-03,Cut-Off Misses,21.79,21.87,1.09,Amber,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-04,Pick Accuracy,34.53,34.2,1.71,Green,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-04,Lines Per Hour,14.31,18.8,0.94,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-04,Wave Adherence,17.09,19.06,0.95,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-04,Pack Backlog,33.63,35.02,1.75,Amber,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-04,Cut-Off Misses,57.52,57.04,2.85,Green,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-05,Pick Accuracy,37.86,45.23,2.26,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
pick2pack2ship,Pick2Pack2Ship,2025-05,Lines Per Hour,11.97,18.67,0.93,Red,Outbound Warehouse Process Owner,WMS; ERP SD; TMS; Carrier Portal
