ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
plan2produce,Plan2Produce,2025-01,Schedule Adherence,15.73,19.14,0.96,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-01,Yield %,69.12,75.68,3.78,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-01,Scrap Value,8.8,10.37,0.52,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-01,Capacity Utilization,17.04,22.2,1.11,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-01,Production Variance,13.58,19.2,0.96,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-02,Schedule Adherence,48.58,51.48,2.57,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-02,Yield %,77.03,94.51,4.73,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-02,Scrap Value,45.96,56.19,2.81,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-02,Capacity Utilization,31.31,31.76,1.59,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-02,Production Variance,39.47,40.25,2.01,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-03,Schedule Adherence,7.97,11.13,0.56,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-03,Yield %,87.81,83.92,4.2,Green,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-03,Scrap Value,26.54,34.23,1.71,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-03,Capacity Utilization,33.79,40.96,2.05,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-03,Production Variance,46.85,48.74,2.44,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-04,Schedule Adherence,12.25,15.3,0.77,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-04,Yield %,71.78,81.91,4.1,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-04,Scrap Value,19.95,23.9,1.2,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-04,Capacity Utilization,10.91,17.26,0.86,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-04,Production Variance,39.41,43.26,2.16,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-05,Schedule Adherence,53.33,55.1,2.76,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-05,Yield %,87.55,96.57,4.83,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-05,Scrap Value,12.19,14.03,0.7,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-05,Capacity Utilization,24.46,30.97,1.55,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-05,Production Variance,37.7,45.8,2.29,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-06,Schedule Adherence,52.0,57.02,2.85,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-06,Yield %,88.11,94.22,4.71,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-06,Scrap Value,39.31,41.81,2.09,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-06,Capacity Utilization,26.52,27.43,1.37,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-06,Production Variance,41.76,51.85,2.59,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-07,Schedule Adherence,55.16,54.75,2.74,Green,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-07,Yield %,82.04,90.82,4.54,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-07,Scrap Value,13.49,16.88,0.84,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-07,Capacity Utilization,29.04,30.24,1.51,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-07,Production Variance,15.14,17.34,0.87,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-08,Schedule Adherence,27.96,31.84,1.59,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-08,Yield %,75.41,81.58,4.08,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-08,Scrap Value,33.49,39.2,1.96,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-08,Capacity Utilization,33.88,36.9,1.84,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-08,Production Variance,26.47,34.25,1.71,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-09,Schedule Adherence,18.78,21.54,1.08,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-09,Yield %,81.68,93.36,4.67,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
