ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
procure2pay,Procure2Pay,2025-01,Spend Value,43.07,47.44,2.37,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-01,Invoice Block Value,7.56,11.01,0.55,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-01,GR/IR Aging,11.78,15.86,0.79,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-01,Discount Capture %,79.71,97.22,4.86,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-01,Supplier On-Time %,69.06,75.96,3.8,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-02,Spend Value,51.52,50.03,2.5,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-02,Invoice Block Value,24.49,28.91,1.45,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-02,GR/IR Aging,20.95,23.98,1.2,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-02,Discount Capture %,64.29,79.09,3.95,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-02,Supplier On-Time %,94.5,92.98,4.65,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-03,Spend Value,41.42,49.25,2.46,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-03,Invoice Block Value,46.32,43.81,2.19,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-03,GR/IR Aging,45.32,44.56,2.23,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-03,Discount Capture %,76.46,80.98,4.05,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-03,Supplier On-Time %,86.78,95.97,4.8,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-04,Spend Value,17.8,22.13,1.11,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-04,Invoice Block Value,41.29,53.65,2.68,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-04,GR/IR Aging,46.76,52.05,2.6,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-04,Discount Capture %,92.13,97.13,4.86,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-04,Supplier On-Time %,75.86,87.28,4.36,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-05,Spend Value,29.54,33.64,1.68,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-05,Invoice Block Value,25.75,31.47,1.57,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
