ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
record2report,Record2Report,2025-01,Close Cycle Time,13.47,16.75,0.84,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-01,Late Posting Count,26.8,28.82,1.44,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-01,Reconciliation Breaks,25.61,29.36,1.47,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-01,Journal Error Rate,88.01,88.23,4.41,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-01,Audit Finding Count,44.03,51.27,2.56,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-02,Close Cycle Time,35.29,34.61,1.73,Green,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-02,Late Posting Count,14.1,15.4,0.77,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-02,Reconciliation Breaks,39.88,48.7,2.44,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-02,Journal Error Rate,75.17,84.27,4.21,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-02,Audit Finding Count,56.71,55.71,2.79,Green,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-03,Close Cycle Time,12.5,15.72,0.79,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-03,Late Posting Count,31.7,33.38,1.67,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-03,Reconciliation Breaks,51.34,52.94,2.65,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-03,Journal Error Rate,89.59,93.6,4.68,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-03,Audit Finding Count,46.05,58.6,2.93,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-04,Close Cycle Time,31.64,33.86,1.69,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-04,Late Posting Count,43.72,56.58,2.83,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-04,Reconciliation Breaks,27.81,30.88,1.54,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-04,Journal Error Rate,81.4,94.92,4.75,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-04,Audit Finding Count,12.47,13.76,0.69,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-05,Close Cycle Time,26.32,29.99,1.5,Red,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
record2report,Record2Report,2025-05,Late Posting Count,39.68,41.77,2.09,Amber,Record-to-Report Process Owner,ERP FI/CO; EPM; Consolidation; GRC
