ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
return2disposition,Return2Disposition,2025-01,Return Rate,90.62,97.65,4.88,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-01,Disposition Aging,18.67,20.56,1.03,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-01,Recovery Value,10.66,17.13,0.86,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-01,Scrap Rate,82.03,81.89,4.09,Green,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-01,Resale Rate,70.99,77.2,3.86,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-02,Return Rate,88.32,94.15,4.71,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-02,Disposition Aging,41.6,50.14,2.51,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-02,Recovery Value,4.98,10.04,0.5,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-02,Scrap Rate,86.51,89.86,4.49,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-02,Resale Rate,66.7,78.15,3.91,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-03,Return Rate,79.34,88.33,4.42,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-03,Disposition Aging,47.23,46.9,2.35,Green,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-03,Recovery Value,7.92,10.15,0.51,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-03,Scrap Rate,77.09,83.03,4.15,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-03,Resale Rate,84.98,94.83,4.74,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-04,Return Rate,78.19,79.83,3.99,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-04,Disposition Aging,51.58,51.36,2.57,Green,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-04,Recovery Value,27.19,27.68,1.38,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-04,Scrap Rate,94.59,92.38,4.62,Green,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-04,Resale Rate,99.01,96.39,4.82,Green,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-05,Return Rate,83.03,91.37,4.57,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-05,Disposition Aging,46.4,58.4,2.92,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-05,Recovery Value,36.53,39.36,1.97,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-05,Scrap Rate,77.27,91.44,4.57,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-05,Resale Rate,63.64,77.09,3.85,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-06,Return Rate,79.48,94.28,4.71,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-06,Disposition Aging,11.91,12.12,0.61,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-06,Recovery Value,19.37,23.44,1.17,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-06,Scrap Rate,80.64,78.62,3.93,Green,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-06,Resale Rate,77.83,82.09,4.1,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
