ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
sop_ibp2execution,S&OP / IBP2Execution,2025-01,Plan Adherence,10.43,15.8,0.79,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-01,Constrained Gap,46.97,50.63,2.53,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-01,Capacity Overload,35.94,37.88,1.89,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-01,Inventory Target Adherence,21.07,28.04,1.4,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-01,Plan Change Count,20.52,22.31,1.12,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-02,Plan Adherence,11.39,17.77,0.89,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-02,Constrained Gap,37.56,36.21,1.81,Green,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-02,Capacity Overload,28.8,31.27,1.56,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-02,Inventory Target Adherence,23.29,26.57,1.33,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-02,Plan Change Count,27.4,34.33,1.72,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-03,Plan Adherence,37.42,45.48,2.27,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-03,Constrained Gap,48.85,53.9,2.7,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-03,Capacity Overload,25.29,25.39,1.27,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-03,Inventory Target Adherence,32.65,34.42,1.72,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-03,Plan Change Count,9.51,12.29,0.61,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-04,Plan Adherence,61.22,60.0,3.0,Green,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-04,Constrained Gap,16.42,23.4,1.17,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-04,Capacity Overload,20.21,24.42,1.22,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-04,Inventory Target Adherence,34.18,37.32,1.87,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-04,Plan Change Count,44.54,49.33,2.47,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-05,Plan Adherence,16.27,18.73,0.94,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-05,Constrained Gap,46.86,53.62,2.68,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-05,Capacity Overload,27.69,32.03,1.6,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-05,Inventory Target Adherence,46.42,50.91,2.55,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-05,Plan Change Count,32.83,40.64,2.03,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-06,Plan Adherence,17.83,18.86,0.94,Amber,IBP Process Owner,IBP; ERP PP; MES; Inventory
sop_ibp2execution,S&OP / IBP2Execution,2025-06,Constrained Gap,41.27,51.73,2.59,Red,IBP Process Owner,IBP; ERP PP; MES; Inventory
