ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
source2contract,Source2Contract,2025-01,Sourcing Cycle Time,13.06,18.14,0.91,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-01,Contract Value At Risk,40.25,40.86,2.04,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-01,Supplier Compliance %,87.29,85.51,4.28,Green,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-01,Legal Loop Count,25.25,28.37,1.42,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-01,Savings Value,23.9,25.7,1.29,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-02,Sourcing Cycle Time,52.2,53.63,2.68,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-02,Contract Value At Risk,38.13,43.23,2.16,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-02,Supplier Compliance %,80.41,97.56,4.88,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-02,Legal Loop Count,17.49,20.11,1.01,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-02,Savings Value,22.49,27.45,1.37,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-03,Sourcing Cycle Time,26.74,33.68,1.68,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-03,Contract Value At Risk,28.99,32.63,1.63,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-03,Supplier Compliance %,86.98,92.34,4.62,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-03,Legal Loop Count,42.54,48.3,2.42,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-03,Savings Value,9.67,14.36,0.72,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-04,Sourcing Cycle Time,42.9,42.29,2.11,Green,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-04,Contract Value At Risk,10.98,13.96,0.7,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-04,Supplier Compliance %,90.34,87.64,4.38,Green,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-04,Legal Loop Count,46.52,45.93,2.3,Green,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-04,Savings Value,35.09,38.08,1.9,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-05,Sourcing Cycle Time,36.35,39.25,1.96,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-05,Contract Value At Risk,39.14,50.27,2.51,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-05,Supplier Compliance %,77.49,84.99,4.25,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-05,Legal Loop Count,14.15,18.36,0.92,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-05,Savings Value,35.37,45.92,2.3,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-06,Sourcing Cycle Time,53.66,56.39,2.82,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-06,Contract Value At Risk,25.24,30.89,1.54,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-06,Supplier Compliance %,63.03,78.17,3.91,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-06,Legal Loop Count,28.15,28.98,1.45,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-06,Savings Value,10.6,12.06,0.6,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-07,Sourcing Cycle Time,48.49,50.2,2.51,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-07,Contract Value At Risk,36.9,45.4,2.27,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-07,Supplier Compliance %,75.4,83.72,4.19,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
