ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
supplieronboarding2risk,SupplierOnboarding2Risk,2025-01,Qualification Status,18.91,25.83,1.29,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-01,Audit Score,8.32,10.18,0.51,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-01,ESG Risk,17.55,20.16,1.01,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-01,Onboarding Aging,38.4,38.89,1.94,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-01,Supplier Risk Exposure,34.02,38.6,1.93,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-02,Qualification Status,12.5,15.78,0.79,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-02,Audit Score,16.76,18.58,0.93,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-02,ESG Risk,33.87,45.72,2.29,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-02,Onboarding Aging,29.18,34.85,1.74,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-02,Supplier Risk Exposure,29.36,33.02,1.65,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-03,Qualification Status,42.45,48.63,2.43,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
