ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
lead2order,Lead2Order,2025-01,Lead Volume,31.73,31.95,1.6,Amber,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-01,MQL Rate,75.66,75.3,3.77,Green,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-01,SQL Rate,86.63,94.82,4.74,Amber,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-01,Order Conversion Rate,70.23,85.35,4.27,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-01,Lead-to-Order Cycle Time,27.23,28.61,1.43,Amber,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-01,Pipeline Value,8.9,10.76,0.54,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-02,Lead Volume,52.28,58.52,2.93,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-02,MQL Rate,71.31,77.98,3.9,Amber,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-02,SQL Rate,96.75,93.15,4.66,Green,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-02,Order Conversion Rate,72.22,85.17,4.26,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-02,Lead-to-Order Cycle Time,56.71,57.0,2.85,Amber,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-02,Pipeline Value,25.39,29.5,1.48,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-03,Lead Volume,31.7,31.59,1.58,Green,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-03,MQL Rate,96.02,97.03,4.85,Amber,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-03,SQL Rate,63.42,76.13,3.81,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-03,Order Conversion Rate,76.63,83.24,4.16,Amber,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-03,Lead-to-Order Cycle Time,23.85,28.79,1.44,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-03,Pipeline Value,37.39,45.77,2.29,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-04,Lead Volume,42.7,52.43,2.62,Red,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
lead2order,Lead2Order,2025-04,MQL Rate,91.07,94.92,4.75,Amber,Lead-to-Order Process Owner,CRM; Marketing Automation; CPQ; ERP Sales
