FeatureID,FeatureName,ImplementationType,Contract,ValidationContract
one_click_process_to_pbip,One-Click Process-to-PBIP,generator,outputs/powerbi-feature-factory/one_click_process_to_pbip/feature_contract.json,outputs/powerbi-feature-factory/one_click_process_to_pbip/validation_contract.json
connector_aware_source_interview,Connector-Aware Source Interview,source-intake,outputs/powerbi-feature-factory/connector_aware_source_interview/feature_contract.json,outputs/powerbi-feature-factory/connector_aware_source_interview/validation_contract.json
kpi_contract_negotiator,KPI Contract Negotiator,kpi-contract,outputs/powerbi-feature-factory/kpi_contract_negotiator/feature_contract.json,outputs/powerbi-feature-factory/kpi_contract_negotiator/validation_contract.json
ambiguous_path_prevention_engine,Ambiguous-Path Prevention Engine,validator,outputs/powerbi-feature-factory/ambiguous_path_prevention_engine/feature_contract.json,outputs/powerbi-feature-factory/ambiguous_path_prevention_engine/validation_contract.json
frown_to_fix_knowledge_loop,Frown-to-Fix Knowledge Loop,triage,outputs/powerbi-feature-factory/frown_to_fix_knowledge_loop/feature_contract.json,outputs/powerbi-feature-factory/frown_to_fix_knowledge_loop/validation_contract.json
visual_binding_compiler,Visual Binding Compiler,validator,outputs/powerbi-feature-factory/visual_binding_compiler/feature_contract.json,outputs/powerbi-feature-factory/visual_binding_compiler/validation_contract.json
measure_test_harness,Measure Test Harness,test-harness,outputs/powerbi-feature-factory/measure_test_harness/feature_contract.json,outputs/powerbi-feature-factory/measure_test_harness/validation_contract.json
process_digital_twin_layer,Process Digital Twin Layer,process-mining,outputs/powerbi-feature-factory/process_digital_twin_layer/feature_contract.json,outputs/powerbi-feature-factory/process_digital_twin_layer/validation_contract.json
action_cockpit_generator,Action Cockpit Generator,report-generator,outputs/powerbi-feature-factory/action_cockpit_generator/feature_contract.json,outputs/powerbi-feature-factory/action_cockpit_generator/validation_contract.json
rls_ols_policy_generator,RLS/OLS Policy Generator,security-design,outputs/powerbi-feature-factory/rls_ols_policy_generator/feature_contract.json,outputs/powerbi-feature-factory/rls_ols_policy_generator/validation_contract.json
source_to_kpi_lineage,Source-to-KPI Lineage,lineage,outputs/powerbi-feature-factory/source_to_kpi_lineage/feature_contract.json,outputs/powerbi-feature-factory/source_to_kpi_lineage/validation_contract.json
process_pack_marketplace,Process Pack Marketplace,catalog,outputs/powerbi-feature-factory/process_pack_marketplace/feature_contract.json,outputs/powerbi-feature-factory/process_pack_marketplace/validation_contract.json
industry_variant_packs,Industry Variant Packs,variant-engine,outputs/powerbi-feature-factory/industry_variant_packs/feature_contract.json,outputs/powerbi-feature-factory/industry_variant_packs/validation_contract.json
coe_certification_bot,Power BI CoE Certification Bot,governance,outputs/powerbi-feature-factory/coe_certification_bot/feature_contract.json,outputs/powerbi-feature-factory/coe_certification_bot/validation_contract.json
report_consolidation_ai,Report Consolidation AI,portfolio-optimizer,outputs/powerbi-feature-factory/report_consolidation_ai/feature_contract.json,outputs/powerbi-feature-factory/report_consolidation_ai/validation_contract.json
semantic_model_refactoring,Semantic Model Refactoring,model-refactoring,outputs/powerbi-feature-factory/semantic_model_refactoring/feature_contract.json,outputs/powerbi-feature-factory/semantic_model_refactoring/validation_contract.json
query_folding_verifier,Query Folding Verifier,source-validator,outputs/powerbi-feature-factory/query_folding_verifier/feature_contract.json,outputs/powerbi-feature-factory/query_folding_verifier/validation_contract.json
refresh_failure_triage,Refresh Failure Triage,operations,outputs/powerbi-feature-factory/refresh_failure_triage/feature_contract.json,outputs/powerbi-feature-factory/refresh_failure_triage/validation_contract.json
business_value_realization_tracker,Business Value Realization Tracker,value-management,outputs/powerbi-feature-factory/business_value_realization_tracker/feature_contract.json,outputs/powerbi-feature-factory/business_value_realization_tracker/validation_contract.json
boardroom_narrative_generator,Boardroom Narrative Generator,narrative,outputs/powerbi-feature-factory/boardroom_narrative_generator/feature_contract.json,outputs/powerbi-feature-factory/boardroom_narrative_generator/validation_contract.json
