ProcessID,ProcessName,Domain,FeatureID,FeatureName,ImplementationStatus,Contract
lead2order,Lead2Order,Commercial,one_click_process_to_pbip,One-Click Process-to-PBIP,implemented_as_executable_contract,outputs/powerbi-feature-factory/one_click_process_to_pbip/feature_contract.json
lead2order,Lead2Order,Commercial,connector_aware_source_interview,Connector-Aware Source Interview,implemented_as_executable_contract,outputs/powerbi-feature-factory/connector_aware_source_interview/feature_contract.json
lead2order,Lead2Order,Commercial,kpi_contract_negotiator,KPI Contract Negotiator,implemented_as_executable_contract,outputs/powerbi-feature-factory/kpi_contract_negotiator/feature_contract.json
lead2order,Lead2Order,Commercial,ambiguous_path_prevention_engine,Ambiguous-Path Prevention Engine,implemented_as_executable_contract,outputs/powerbi-feature-factory/ambiguous_path_prevention_engine/feature_contract.json
lead2order,Lead2Order,Commercial,frown_to_fix_knowledge_loop,Frown-to-Fix Knowledge Loop,implemented_as_executable_contract,outputs/powerbi-feature-factory/frown_to_fix_knowledge_loop/feature_contract.json
lead2order,Lead2Order,Commercial,visual_binding_compiler,Visual Binding Compiler,implemented_as_executable_contract,outputs/powerbi-feature-factory/visual_binding_compiler/feature_contract.json
lead2order,Lead2Order,Commercial,measure_test_harness,Measure Test Harness,implemented_as_executable_contract,outputs/powerbi-feature-factory/measure_test_harness/feature_contract.json
lead2order,Lead2Order,Commercial,process_digital_twin_layer,Process Digital Twin Layer,implemented_as_executable_contract,outputs/powerbi-feature-factory/process_digital_twin_layer/feature_contract.json
lead2order,Lead2Order,Commercial,action_cockpit_generator,Action Cockpit Generator,implemented_as_executable_contract,outputs/powerbi-feature-factory/action_cockpit_generator/feature_contract.json
lead2order,Lead2Order,Commercial,rls_ols_policy_generator,RLS/OLS Policy Generator,implemented_as_executable_contract,outputs/powerbi-feature-factory/rls_ols_policy_generator/feature_contract.json
lead2order,Lead2Order,Commercial,source_to_kpi_lineage,Source-to-KPI Lineage,implemented_as_executable_contract,outputs/powerbi-feature-factory/source_to_kpi_lineage/feature_contract.json
lead2order,Lead2Order,Commercial,process_pack_marketplace,Process Pack Marketplace,implemented_as_executable_contract,outputs/powerbi-feature-factory/process_pack_marketplace/feature_contract.json
lead2order,Lead2Order,Commercial,industry_variant_packs,Industry Variant Packs,implemented_as_executable_contract,outputs/powerbi-feature-factory/industry_variant_packs/feature_contract.json
lead2order,Lead2Order,Commercial,coe_certification_bot,Power BI CoE Certification Bot,implemented_as_executable_contract,outputs/powerbi-feature-factory/coe_certification_bot/feature_contract.json
lead2order,Lead2Order,Commercial,report_consolidation_ai,Report Consolidation AI,implemented_as_executable_contract,outputs/powerbi-feature-factory/report_consolidation_ai/feature_contract.json
lead2order,Lead2Order,Commercial,semantic_model_refactoring,Semantic Model Refactoring,implemented_as_executable_contract,outputs/powerbi-feature-factory/semantic_model_refactoring/feature_contract.json
lead2order,Lead2Order,Commercial,query_folding_verifier,Query Folding Verifier,implemented_as_executable_contract,outputs/powerbi-feature-factory/query_folding_verifier/feature_contract.json
lead2order,Lead2Order,Commercial,refresh_failure_triage,Refresh Failure Triage,implemented_as_executable_contract,outputs/powerbi-feature-factory/refresh_failure_triage/feature_contract.json
lead2order,Lead2Order,Commercial,business_value_realization_tracker,Business Value Realization Tracker,implemented_as_executable_contract,outputs/powerbi-feature-factory/business_value_realization_tracker/feature_contract.json
lead2order,Lead2Order,Commercial,boardroom_narrative_generator,Boardroom Narrative Generator,implemented_as_executable_contract,outputs/powerbi-feature-factory/boardroom_narrative_generator/feature_contract.json
order2cash,Order2Cash,Commercial,one_click_process_to_pbip,One-Click Process-to-PBIP,implemented_as_executable_contract,outputs/powerbi-feature-factory/one_click_process_to_pbip/feature_contract.json
order2cash,Order2Cash,Commercial,connector_aware_source_interview,Connector-Aware Source Interview,implemented_as_executable_contract,outputs/powerbi-feature-factory/connector_aware_source_interview/feature_contract.json
order2cash,Order2Cash,Commercial,kpi_contract_negotiator,KPI Contract Negotiator,implemented_as_executable_contract,outputs/powerbi-feature-factory/kpi_contract_negotiator/feature_contract.json
order2cash,Order2Cash,Commercial,ambiguous_path_prevention_engine,Ambiguous-Path Prevention Engine,implemented_as_executable_contract,outputs/powerbi-feature-factory/ambiguous_path_prevention_engine/feature_contract.json
order2cash,Order2Cash,Commercial,frown_to_fix_knowledge_loop,Frown-to-Fix Knowledge Loop,implemented_as_executable_contract,outputs/powerbi-feature-factory/frown_to_fix_knowledge_loop/feature_contract.json
order2cash,Order2Cash,Commercial,visual_binding_compiler,Visual Binding Compiler,implemented_as_executable_contract,outputs/powerbi-feature-factory/visual_binding_compiler/feature_contract.json
order2cash,Order2Cash,Commercial,measure_test_harness,Measure Test Harness,implemented_as_executable_contract,outputs/powerbi-feature-factory/measure_test_harness/feature_contract.json
order2cash,Order2Cash,Commercial,process_digital_twin_layer,Process Digital Twin Layer,implemented_as_executable_contract,outputs/powerbi-feature-factory/process_digital_twin_layer/feature_contract.json
order2cash,Order2Cash,Commercial,action_cockpit_generator,Action Cockpit Generator,implemented_as_executable_contract,outputs/powerbi-feature-factory/action_cockpit_generator/feature_contract.json
order2cash,Order2Cash,Commercial,rls_ols_policy_generator,RLS/OLS Policy Generator,implemented_as_executable_contract,outputs/powerbi-feature-factory/rls_ols_policy_generator/feature_contract.json
order2cash,Order2Cash,Commercial,source_to_kpi_lineage,Source-to-KPI Lineage,implemented_as_executable_contract,outputs/powerbi-feature-factory/source_to_kpi_lineage/feature_contract.json
order2cash,Order2Cash,Commercial,process_pack_marketplace,Process Pack Marketplace,implemented_as_executable_contract,outputs/powerbi-feature-factory/process_pack_marketplace/feature_contract.json
order2cash,Order2Cash,Commercial,industry_variant_packs,Industry Variant Packs,implemented_as_executable_contract,outputs/powerbi-feature-factory/industry_variant_packs/feature_contract.json
order2cash,Order2Cash,Commercial,coe_certification_bot,Power BI CoE Certification Bot,implemented_as_executable_contract,outputs/powerbi-feature-factory/coe_certification_bot/feature_contract.json
order2cash,Order2Cash,Commercial,report_consolidation_ai,Report Consolidation AI,implemented_as_executable_contract,outputs/powerbi-feature-factory/report_consolidation_ai/feature_contract.json
order2cash,Order2Cash,Commercial,semantic_model_refactoring,Semantic Model Refactoring,implemented_as_executable_contract,outputs/powerbi-feature-factory/semantic_model_refactoring/feature_contract.json
order2cash,Order2Cash,Commercial,query_folding_verifier,Query Folding Verifier,implemented_as_executable_contract,outputs/powerbi-feature-factory/query_folding_verifier/feature_contract.json
order2cash,Order2Cash,Commercial,refresh_failure_triage,Refresh Failure Triage,implemented_as_executable_contract,outputs/powerbi-feature-factory/refresh_failure_triage/feature_contract.json
order2cash,Order2Cash,Commercial,business_value_realization_tracker,Business Value Realization Tracker,implemented_as_executable_contract,outputs/powerbi-feature-factory/business_value_realization_tracker/feature_contract.json
order2cash,Order2Cash,Commercial,boardroom_narrative_generator,Boardroom Narrative Generator,implemented_as_executable_contract,outputs/powerbi-feature-factory/boardroom_narrative_generator/feature_contract.json
source2contract,Source2Contract,Procurement,one_click_process_to_pbip,One-Click Process-to-PBIP,implemented_as_executable_contract,outputs/powerbi-feature-factory/one_click_process_to_pbip/feature_contract.json
