ExceptionID,ProblemType,Severity,CustomerID,ProductID,RelatedDocument,EventDate,AmountExposure,Reason,RecommendedAction,OwnerRole
EX-CHURN-C0017,Customer Churn Risk,Medium,C0017,,C0017,2026-01-12,1966672.7,Risk score 25; 111 days since last order; late/short=13; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0045,Customer Churn Risk,Medium,C0045,,C0045,2026-01-31,1854257.45,Risk score 45; 92 days since last order; late/short=20; disputes=2,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0018,Customer Churn Risk,Medium,C0018,,C0018,2026-03-17,1676871.67,Risk score 42; 47 days since last order; late/short=15; disputes=1,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0056,Customer Churn Risk,Medium,C0056,,C0056,2026-03-02,1590170.03,Risk score 32; 62 days since last order; late/short=9; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0058,Customer Churn Risk,Medium,C0058,,C0058,2026-03-27,1589642.12,Risk score 45; 37 days since last order; late/short=13; disputes=2,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0032,Customer Churn Risk,High,C0032,,C0032,2026-02-10,1377553.97,Risk score 65; 82 days since last order; late/short=10; disputes=3,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0049,Customer Churn Risk,Medium,C0049,,C0049,2026-03-07,1352492.56,Risk score 25; 57 days since last order; late/short=9; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0012,Customer Churn Risk,Medium,C0012,,C0012,2026-03-08,1207854.97,Risk score 32; 56 days since last order; late/short=14; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0019,Customer Churn Risk,Medium,C0019,,C0019,2026-03-11,1185579.28,Risk score 25; 53 days since last order; late/short=12; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0005,Customer Churn Risk,Medium,C0005,,C0005,2026-04-01,1153875.77,Risk score 49; 32 days since last order; late/short=15; disputes=1,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0036,Customer Churn Risk,Medium,C0036,,C0036,2026-01-05,1143987.6,Risk score 32; 118 days since last order; late/short=15; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0046,Customer Churn Risk,Medium,C0046,,C0046,2026-02-04,1139115.56,Risk score 32; 88 days since last order; late/short=17; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0027,Customer Churn Risk,High,C0027,,C0027,2025-07-27,1138262.9,Risk score 74; 280 days since last order; late/short=5; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0010,Customer Churn Risk,Medium,C0010,,C0010,2026-01-14,1073926.7,Risk score 45; 109 days since last order; late/short=17; disputes=2,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0059,Customer Churn Risk,Medium,C0059,,C0059,2026-02-03,1054374.56,Risk score 25; 89 days since last order; late/short=6; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0004,Customer Churn Risk,Medium,C0004,,C0004,2026-02-25,1038968.8,Risk score 32; 67 days since last order; late/short=9; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0057,Customer Churn Risk,Medium,C0057,,C0057,2026-01-15,1035027.78,Risk score 49; 108 days since last order; late/short=13; disputes=1,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0023,Customer Churn Risk,Medium,C0023,,C0023,2026-02-28,903040.93,Risk score 35; 64 days since last order; late/short=13; disputes=1,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0051,Customer Churn Risk,Medium,C0051,,C0051,2026-03-14,857763.05,Risk score 32; 50 days since last order; late/short=9; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0054,Customer Churn Risk,Medium,C0054,,C0054,2026-02-03,855183.01,Risk score 25; 89 days since last order; late/short=7; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0014,Customer Churn Risk,Medium,C0014,,C0014,2026-03-22,824900.26,Risk score 25; 42 days since last order; late/short=9; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0048,Customer Churn Risk,Medium,C0048,,C0048,2026-03-06,808203.91,Risk score 32; 58 days since last order; late/short=11; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0043,Customer Churn Risk,Medium,C0043,,C0043,2026-02-08,787823.74,Risk score 39; 84 days since last order; late/short=5; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0050,Customer Churn Risk,Medium,C0050,,C0050,2026-02-06,755385.68,Risk score 25; 86 days since last order; late/short=12; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0053,Customer Churn Risk,Medium,C0053,,C0053,2026-02-21,714677.7,Risk score 49; 71 days since last order; late/short=8; disputes=1,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0013,Customer Churn Risk,Medium,C0013,,C0013,2026-04-04,705122.54,Risk score 32; 29 days since last order; late/short=8; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0052,Customer Churn Risk,Medium,C0052,,C0052,2026-03-15,701936.38,Risk score 32; 49 days since last order; late/short=6; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0006,Customer Churn Risk,Medium,C0006,,C0006,2026-03-20,645188.35,Risk score 32; 44 days since last order; late/short=8; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0022,Customer Churn Risk,Medium,C0022,,C0022,2025-12-24,645135.81,Risk score 37; 130 days since last order; late/short=3; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-OTIF-DLV000106,Late Or Short Delivery,High,C0018,P0028,DLV000106,2025-07-22,614906.4,OTIF status Late/Short via carrier Kuehne+Nagel,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000011,ATP / Availability Issue,High,C0027,P0031,SO000011,2025-04-20,602096.0,ATP status Shortage for requested date 2025-06-09,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000011,Late Or Short Delivery,High,C0027,P0031,DLV000011,2025-05-17,602096.0,OTIF status Late/Short via carrier Kuehne+Nagel,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000078,ATP / Availability Issue,Medium,C0058,P0002,SO000078,2025-10-10,597795.86,ATP status Partial for requested date 2025-10-24,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
